consonant,voice,place,manner,prosody,noipow,voipow,subject,token
z,1,1,1,0,148.75,121.67,20,6
s,0,1,1,0,162.9,108.62,13,8
z,1,1,1,0,161.92,120.49,15,10
v,1,0,1,0,140.67,116.87,1,6
p,0,0,0,0,148.22,120.06,10,3
v,1,0,1,0,147.93,126.41,11,2
b,1,0,0,0,142.05,121.68,11,9
z,1,1,1,0,162.74,125.11,16,9
z,1,1,1,0,150.69,127.36,14,7
b,1,0,0,0,143.22,118.52,9,9
d,1,1,0,0,140.72,119.62,1,1
z,1,1,1,0,149.78,123.69,14,3
d,1,1,0,0,140.82,112.91,7,7
p,0,0,0,0,133.05,105.45,18,10
t,0,1,0,0,149.06,119.49,6,10
s,0,1,1,0,152.89,111.32,2,4
p,0,0,0,0,141.84,117.19,13,9
b,1,0,0,0,135.44,124.22,16,5
b,1,0,0,0,132.62,104.97,2,7
b,1,0,0,0,141.21,127.86,7,5
v,1,0,1,0,124.07,109.27,2,9
p,0,0,0,0,149.58,116.63,16,6
b,1,0,0,0,127.72,119.59,6,10
p,0,0,0,0,140.87,117.97,4,5
t,0,1,0,0,159.9,123.68,8,4
z,1,1,1,0,162.02,124.91,13,2
t,0,1,0,0,158.08,114.94,16,1
t,0,1,0,0,146.34,118.15,18,9
t,0,1,0,0,152.22,119.53,4,3
d,1,1,0,0,144.17,107.72,6,2
v,1,0,1,0,146.42,107.53,9,5
p,0,0,0,0,132.6,110.7,20,6
p,0,0,0,0,144.86,122.91,8,10
z,1,1,1,0,160.33,128.81,15,7
s,0,1,1,0,154.91,108.52,2,6
f,0,0,1,0,153.28,108.83,15,1
d,1,1,0,0,142.23,112.47,18,8
t,0,1,0,0,154.82,117.89,9,8
z,1,1,1,0,166.47,115.98,16,8
d,1,1,0,0,144.02,113.62,2,9
p,0,0,0,0,145.38,110.42,15,6
t,0,1,0,0,149.12,115.78,4,10
v,1,0,1,0,147.37,123.44,14,3
p,0,0,0,0,141.94,116.86,4,3
b,1,0,0,0,136.42,119.3,15,9
t,0,1,0,0,139.63,118.79,19,2
d,1,1,0,0,136.4,110.89,19,1
t,0,1,0,0,143.95,111.98,6,2
s,0,1,1,0,160.5,115.89,4,10
d,1,1,0,0,150.44,120.44,1,3
z,1,1,1,0,154.09,105.42,1,2
s,0,1,1,0,152.98,106.07,18,8
v,1,0,1,0,132.07,110.92,7,1
t,0,1,0,0,151.84,113.52,9,3
t,0,1,0,0,159.04,116.07,12,4
z,1,1,1,0,157.7,120.77,7,9
f,0,0,1,0,145.0,112.23,3,6
f,0,0,1,0,147.69,119.85,4,1
d,1,1,0,0,149.61,120.2,1,2
d,1,1,0,0,149.84,125.22,4,3
v,1,0,1,0,134.35,121.23,4,3
b,1,0,0,0,136.0,118.07,11,6
s,0,1,1,0,165.46,116.03,8,9
s,0,1,1,0,164.13,106.41,7,5
b,1,0,0,0,134.83,110.7,12,9
b,1,0,0,0,144.42,115.86,16,8
z,1,1,1,0,158.59,105.68,17,2
b,1,0,0,0,133.0,113.62,3,5
p,0,0,0,0,142.28,117.7,14,9
d,1,1,0,0,139.58,117.2,19,2
z,1,1,1,0,149.59,121.89,12,3
b,1,0,0,0,140.79,118.94,11,7
d,1,1,0,0,148.01,116.26,1,10
p,0,0,0,0,146.77,127.96,8,5
v,1,0,1,0,138.26,126.1,1,10
b,1,0,0,0,137.55,123.88,12,10
z,1,1,1,0,149.5,127.16,20,9
f,0,0,1,0,149.89,111.44,14,8
d,1,1,0,0,137.63,111.33,5,4
d,1,1,0,0,141.8,110.65,9,8
s,0,1,1,0,158.06,102.4,20,1
z,1,1,1,0,156.42,124.24,12,9
t,0,1,0,0,156.98,114.77,12,10
z,1,1,1,0,163.64,126.38,10,6
d,1,1,0,0,144.46,116.6,7,3
p,0,0,0,0,140.95,115.03,11,2
d,1,1,0,0,160.85,122.23,12,9
d,1,1,0,0,146.02,114.82,15,8
v,1,0,1,0,131.01,115.9,5,6
v,1,0,1,0,149.98,122.57,10,1
z,1,1,1,0,159.36,122.84,13,1
b,1,0,0,0,130.03,123.49,18,5
d,1,1,0,0,153.17,117.59,9,2
v,1,0,1,0,140.92,120.98,20,4
s,0,1,1,0,164.54,112.44,10,3
z,1,1,1,0,147.47,124.13,20,3
s,0,1,1,0,166.44,110.29,16,3
z,1,1,1,0,161.74,125.82,8,1
b,1,0,0,0,140.91,112.77,4,9
f,0,0,1,0,139.47,102.4,19,6
d,1,1,0,0,153.84,120.42,9,9
f,0,0,1,0,149.16,108.98,16,3
z,1,1,1,0,160.93,121.63,1,9
t,0,1,0,0,150.34,117.29,14,2
b,1,0,0,0,142.59,127.46,13,5
z,1,1,1,0,147.06,124.27,20,10
v,1,0,1,0,139.46,123.81,9,4
p,0,0,0,0,141.31,113.79,1,7
t,0,1,0,0,165.15,122.32,8,3
p,0,0,0,0,131.32,114.37,5,4
b,1,0,0,0,135.49,128.84,20,4
v,1,0,1,0,141.9,120.1,14,4
f,0,0,1,0,144.34,110.11,12,6
s,0,1,1,0,161.8,108.4,7,1
f,0,0,1,0,142.97,123.49,6,2
z,1,1,1,0,149.32,119.4,18,5
z,1,1,1,0,165.08,123.2,16,10
z,1,1,1,0,154.13,108.96,2,6
b,1,0,0,0,142.52,127.25,16,9
d,1,1,0,0,140.39,127.64,14,9
s,0,1,1,0,158.76,108.58,12,4
z,1,1,1,0,147.82,114.28,19,3
d,1,1,0,0,140.78,122.82,18,3
z,1,1,1,0,165.11,122.25,16,6
p,0,0,0,0,138.81,119.18,1,4
f,0,0,1,0,145.16,104.78,13,7
p,0,0,0,0,137.77,110.53,3,7
z,1,1,1,0,151.77,117.89,4,4
d,1,1,0,0,146.14,121.13,15,7
p,0,0,0,0,139.15,116.8,3,5
t,0,1,0,0,141.87,120.0,19,6
f,0,0,1,0,156.15,114.35,10,6
b,1,0,0,0,130.89,125.53,14,7
b,1,0,0,0,138.02,129.3,5,1
b,1,0,0,0,129.02,109.11,2,9
b,1,0,0,0,135.93,113.81,13,7
d,1,1,0,0,150.8,124.96,1,7
f,0,0,1,0,151.43,111.17,10,2
t,0,1,0,0,138.37,113.8,5,9
v,1,0,1,0,133.96,112.64,16,6
t,0,1,0,0,139.36,107.62,18,10
t,0,1,0,0,147.2,110.63,15,8
f,0,0,1,0,134.13,108.02,13,1
p,0,0,0,0,148.91,122.08,10,7
d,1,1,0,0,138.62,114.3,15,9
d,1,1,0,0,152.99,124.58,8,7
d,1,1,0,0,155.14,113.77,13,3
z,1,1,1,0,142.45,118.62,5,7
s,0,1,1,0,165.06,108.04,7,4
f,0,0,1,0,148.37,111.28,1,6
z,1,1,1,0,158.38,123.59,15,8
z,1,1,1,0,142.41,124.43,5,6
s,0,1,1,0,158.88,106.73,9,4
p,0,0,0,0,145.7,121.8,14,1
d,1,1,0,0,158.06,121.02,10,8
d,1,1,0,0,153.76,111.19,16,2
f,0,0,1,0,150.25,112.41,3,8
s,0,1,1,0,162.02,115.98,8,2
z,1,1,1,0,165.35,128.25,10,10
d,1,1,0,0,140.6,112.43,3,3
t,0,1,0,0,145.28,120.7,17,7
t,0,1,0,0,161.65,115.54,11,1
d,1,1,0,0,153.3,109.93,10,9
t,0,1,0,0,153.17,108.78,9,4
t,0,1,0,0,152.39,112.89,15,9
d,1,1,0,0,143.76,116.94,1,8
p,0,0,0,0,153.73,117.07,16,7
b,1,0,0,0,129.0,115.0,19,4
f,0,0,1,0,137.23,101.49,20,8
v,1,0,1,0,144.22,110.31,3,10
z,1,1,1,0,152.94,123.6,19,6
b,1,0,0,0,146.19,118.49,9,1
s,0,1,1,0,154.61,105.2,19,1
d,1,1,0,0,138.89,117.96,20,2
s,0,1,1,0,153.76,103.2,20,2
s,0,1,1,0,160.43,112.14,1,3
z,1,1,1,0,165.92,119.53,13,8
b,1,0,0,0,148.31,124.85,10,5
s,0,1,1,0,155.53,108.03,18,2
b,1,0,0,0,145.5,121.93,9,10
s,0,1,1,0,157.02,110.32,12,9
f,0,0,1,0,135.83,115.26,13,3
f,0,0,1,0,145.36,111.06,6,7
p,0,0,0,0,148.18,122.99,8,9
f,0,0,1,0,145.22,111.08,6,8
s,0,1,1,0,156.72,113.75,14,6
d,1,1,0,0,143.61,120.7,7,10
p,0,0,0,0,139.01,112.86,7,1
z,1,1,1,0,156.38,129.04,3,3
v,1,0,1,0,146.02,113.72,9,9
b,1,0,0,0,128.97,111.04,12,2
f,0,0,1,0,146.69,110.59,3,7
f,0,0,1,0,152.58,128.64,16,1
b,1,0,0,0,133.17,124.24,14,4
p,0,0,0,0,134.18,115.14,13,8
d,1,1,0,0,158.85,130.2,13,9
v,1,0,1,0,132.39,118.69,2,5
b,1,0,0,0,136.37,111.32,6,9
t,0,1,0,0,152.36,112.94,15,4
s,0,1,1,0,164.62,108.99,15,5
f,0,0,1,0,136.52,98.605,19,2
s,0,1,1,0,155.16,115.59,11,3
f,0,0,1,0,132.86,111.67,2,6
v,1,0,1,0,130.41,120.14,4,2
t,0,1,0,0,162.02,120.58,10,5
f,0,0,1,0,141.26,107.54,13,5
v,1,0,1,0,130.64,117.62,6,6
t,0,1,0,0,154.87,111.1,7,2
s,0,1,1,0,154.22,107.38,19,9
p,0,0,0,0,142.64,119.5,8,1
s,0,1,1,0,153.26,109.74,17,8
f,0,0,1,0,143.25,109.01,2,8
p,0,0,0,0,139.78,119.94,1,10
b,1,0,0,0,131.22,118.18,1,8
b,1,0,0,0,128.08,111.39,5,5
p,0,0,0,0,145.74,113.11,15,4
b,1,0,0,0,145.14,127.65,8,10
d,1,1,0,0,147.9,116.03,17,1
s,0,1,1,0,150.37,104.31,18,6
v,1,0,1,0,151.05,130.23,10,3
p,0,0,0,0,132.36,113.05,19,4
t,0,1,0,0,161.79,117.94,11,9
d,1,1,0,0,133.21,110.93,17,2
b,1,0,0,0,132.31,114.69,12,5
v,1,0,1,0,143.27,114.09,15,4
t,0,1,0,0,156.47,122.27,6,7
z,1,1,1,0,156.07,123.75,3,8
v,1,0,1,0,141.94,122.2,16,8
z,1,1,1,0,161.91,131.97,10,3
z,1,1,1,0,146.91,120.68,4,5
v,1,0,1,0,155.99,125.26,10,9
t,0,1,0,0,146.55,108.76,2,2
z,1,1,1,0,163.72,120.66,9,2
t,0,1,0,0,155.54,122.29,13,6
b,1,0,0,0,129.97,116.61,11,3
d,1,1,0,0,135.95,104.29,2,2
b,1,0,0,0,139.08,128.79,20,8
b,1,0,0,0,144.45,119.94,9,8
p,0,0,0,0,143.15,113.76,11,3
p,0,0,0,0,144.6,115.41,15,7
d,1,1,0,0,138.72,112.57,2,7
s,0,1,1,0,153.9,107.0,17,5
z,1,1,1,0,159.33,126.71,1,4
z,1,1,1,0,146.46,122.99,14,4
p,0,0,0,0,146.03,126.81,4,1
s,0,1,1,0,167.14,110.76,8,6
b,1,0,0,0,136.26,129.23,14,2
v,1,0,1,0,134.44,111.18,5,3
p,0,0,0,0,144.08,119.02,14,8
d,1,1,0,0,139.09,108.53,7,1
t,0,1,0,0,162.87,118.88,10,1
f,0,0,1,0,155.48,113.3,10,8
s,0,1,1,0,151.06,113.06,19,7
z,1,1,1,0,163.93,122.02,8,9
t,0,1,0,0,151.87,118.08,4,4
t,0,1,0,0,159.24,124.86,16,9
b,1,0,0,0,128.27,108.19,17,8
p,0,0,0,0,138.92,113.26,3,10
z,1,1,1,0,149.53,120.31,18,8
s,0,1,1,0,153.04,100.9,20,9
p,0,0,0,0,141.76,111.83,17,3
p,0,0,0,0,134.85,109.35,20,7
d,1,1,0,0,151.89,120.16,15,6
z,1,1,1,0,164.18,124.5,8,8
z,1,1,1,0,154.25,108.48,2,10
t,0,1,0,0,158.36,115.93,7,1
f,0,0,1,0,141.11,107.2,2,10
t,0,1,0,0,162.67,118.8,16,10
d,1,1,0,0,146.68,122.49,14,5
d,1,1,0,0,145.53,131.31,17,8
f,0,0,1,0,139.87,117.67,17,7
t,0,1,0,0,155.5,113.89,12,5
v,1,0,1,0,135.17,112.86,7,6
s,0,1,1,0,160.77,107.33,6,7
s,0,1,1,0,154.69,108.41,19,3
v,1,0,1,0,147.39,120.74,8,1
v,1,0,1,0,150.57,121.36,8,4
t,0,1,0,0,134.99,116.19,5,1
f,0,0,1,0,135.59,107.93,5,9
v,1,0,1,0,141.51,108.16,2,10
f,0,0,1,0,147.48,102.49,20,4
b,1,0,0,0,135.92,122.44,17,5
s,0,1,1,0,156.6,108.13,2,9
z,1,1,1,0,161.83,122.69,8,5
s,0,1,1,0,166.86,114.24,10,8
p,0,0,0,0,135.99,114.01,13,6
b,1,0,0,0,128.14,107.82,2,8
b,1,0,0,0,124.43,121.38,1,9
f,0,0,1,0,156.93,114.75,9,5
s,0,1,1,0,155.82,114.37,14,7
f,0,0,1,0,142.81,104.67,17,3
s,0,1,1,0,153.5,103.54,20,8
f,0,0,1,0,156.01,112.88,9,10
d,1,1,0,0,143.85,120.6,4,9
d,1,1,0,0,151.37,123.1,14,10
t,0,1,0,0,146.23,116.67,20,1
z,1,1,1,0,153.1,110.44,12,4
z,1,1,1,0,151.28,120.55,17,10
b,1,0,0,0,131.72,121.78,17,6
f,0,0,1,0,143.63,108.76,18,7
b,1,0,0,0,130.47,118.63,18,9
f,0,0,1,0,142.68,102.88,20,6
f,0,0,1,0,138.28,107.1,13,9
s,0,1,1,0,162.05,108.29,7,9
v,1,0,1,0,132.53,123.87,12,5
s,0,1,1,0,153.72,109.42,17,6
b,1,0,0,0,134.26,125.54,18,6
d,1,1,0,0,146.06,125.64,14,3
d,1,1,0,0,146.24,119.57,6,8
z,1,1,1,0,159.86,115.5,15,6
b,1,0,0,0,139.73,123.33,7,1
p,0,0,0,0,151.47,128.58,10,6
t,0,1,0,0,165.04,115.33,10,4
v,1,0,1,0,140.88,110.04,17,8
v,1,0,1,0,133.15,122.22,20,6
d,1,1,0,0,156.81,119.94,1,9
z,1,1,1,0,153.04,126.79,6,2
s,0,1,1,0,154.58,115.78,14,3
f,0,0,1,0,133.18,102.54,2,3
p,0,0,0,0,143.96,118.58,3,2
z,1,1,1,0,155.27,117.4,7,3
b,1,0,0,0,137.49,129.45,14,9
s,0,1,1,0,152.36,102.37,20,3
v,1,0,1,0,134.29,119.84,12,2
d,1,1,0,0,146.51,117.03,16,10
v,1,0,1,0,135.46,120.69,20,1
d,1,1,0,0,143.57,115.91,18,1
s,0,1,1,0,167.78,113.05,8,5
z,1,1,1,0,152.52,114.98,2,4
z,1,1,1,0,151.04,122.36,20,1
v,1,0,1,0,144.9,120.01,1,5
f,0,0,1,0,147.18,107.92,12,10
z,1,1,1,0,156.84,123.64,9,1
b,1,0,0,0,129.14,121.43,19,9
s,0,1,1,0,160.85,107.82,15,8
t,0,1,0,0,154.68,120.55,15,1
p,0,0,0,0,143.23,119.78,7,3
d,1,1,0,0,162.04,121.39,10,7
t,0,1,0,0,154.23,113.84,12,3
t,0,1,0,0,165.24,117.42,11,5
f,0,0,1,0,149.67,116.16,3,3
t,0,1,0,0,150.9,113.24,15,6
v,1,0,1,0,127.24,117.13,17,3
v,1,0,1,0,141.26,124.86,4,10
f,0,0,1,0,149.11,101.26,20,1
d,1,1,0,0,142.3,115.84,4,7
v,1,0,1,0,134.85,115.68,7,10
b,1,0,0,0,134.76,114.81,16,3
d,1,1,0,0,151.95,118.41,8,4
t,0,1,0,0,162.07,112.12,7,9
f,0,0,1,0,138.7,113.02,4,5
s,0,1,1,0,161.99,114.03,12,3
d,1,1,0,0,149.19,118.36,3,7
b,1,0,0,0,133.06,119.51,16,10
z,1,1,1,0,147.56,120.29,20,5
t,0,1,0,0,150.97,117.39,9,9
s,0,1,1,0,154.63,111.87,12,8
t,0,1,0,0,144.85,111.04,15,10
b,1,0,0,0,133.34,121.47,19,8
d,1,1,0,0,156.57,118.17,13,2
f,0,0,1,0,155.31,111.95,15,2
d,1,1,0,0,152.36,116.16,6,4
f,0,0,1,0,141.17,105.77,7,3
d,1,1,0,0,157.34,121.44,16,8
b,1,0,0,0,144.84,118.07,8,6
d,1,1,0,0,147.5,118.28,14,1
v,1,0,1,0,153.13,122.55,8,7
p,0,0,0,0,147.1,121.54,12,1
f,0,0,1,0,148.78,105.84,9,8
s,0,1,1,0,161.41,116.36,4,3
b,1,0,0,0,138.35,112.04,12,8
f,0,0,1,0,138.0,119.74,4,4
f,0,0,1,0,134.38,105.75,3,9
b,1,0,0,0,134.42,109.8,12,4
v,1,0,1,0,144.78,120.13,11,1
d,1,1,0,0,145.48,114.75,12,1
v,1,0,1,0,132.6,117.59,15,9
t,0,1,0,0,155.46,119.75,8,2
d,1,1,0,0,152.63,115.95,10,10
p,0,0,0,0,140.77,119.33,3,8
b,1,0,0,0,138.67,118.9,15,1
b,1,0,0,0,137.28,122.29,13,2
t,0,1,0,0,147.26,117.97,4,5
v,1,0,1,0,137.84,121.05,19,9
t,0,1,0,0,146.6,111.49,2,6
z,1,1,1,0,160.55,122.39,15,4
z,1,1,1,0,159.44,120.44,16,4
s,0,1,1,0,165.47,111.29,15,3
t,0,1,0,0,157.32,116.4,14,7
z,1,1,1,0,146.87,121.46,18,6
b,1,0,0,0,132.55,119.98,14,1
t,0,1,0,0,153.69,115.25,2,3
b,1,0,0,0,141.25,120.46,9,3
z,1,1,1,0,150.1,127.8,14,6
z,1,1,1,0,150.0,130.24,1,5
p,0,0,0,0,140.54,116.22,1,8
f,0,0,1,0,142.93,109.67,6,6
p,0,0,0,0,136.98,116.6,19,9
t,0,1,0,0,153.26,118.56,13,1
s,0,1,1,0,164.27,109.81,13,9
z,1,1,1,0,138.18,120.37,5,1
d,1,1,0,0,149.25,119.59,1,5
b,1,0,0,0,135.91,115.03,3,9
d,1,1,0,0,153.91,117.61,13,8
t,0,1,0,0,162.99,115.97,16,2
f,0,0,1,0,147.48,112.08,8,8
b,1,0,0,0,133.31,117.81,4,4
t,0,1,0,0,164.76,121.82,1,3
t,0,1,0,0,142.16,109.19,20,3
t,0,1,0,0,152.86,118.91,9,7
d,1,1,0,0,142.67,114.02,3,8
t,0,1,0,0,165.08,117.26,3,5
s,0,1,1,0,152.69,106.89,18,3
f,0,0,1,0,153.49,113.25,1,4
z,1,1,1,0,152.19,121.94,3,5
t,0,1,0,0,157.02,112.27,11,7
v,1,0,1,0,149.14,108.7,9,2
s,0,1,1,0,151.85,100.86,20,6
b,1,0,0,0,138.72,118.23,11,10
s,0,1,1,0,161.44,111.53,3,3
t,0,1,0,0,159.86,119.03,10,8
p,0,0,0,0,145.08,116.41,4,8
b,1,0,0,0,127.16,118.23,20,1
s,0,1,1,0,165.93,115.79,15,2
v,1,0,1,0,140.42,121.66,16,4
p,0,0,0,0,139.25,110.52,2,5
s,0,1,1,0,164.6,112.87,11,2
p,0,0,0,0,137.62,114.36,3,1
t,0,1,0,0,158.47,118.18,1,1
f,0,0,1,0,151.53,107.84,9,3
s,0,1,1,0,155.68,114.98,14,9
p,0,0,0,0,139.24,114.79,7,10
p,0,0,0,0,140.82,112.88,9,2
s,0,1,1,0,163.19,110.73,9,6
f,0,0,1,0,136.1,104.86,13,2
f,0,0,1,0,148.02,107.71,15,9
f,0,0,1,0,142.79,106.49,12,1
b,1,0,0,0,135.93,119.18,16,7
f,0,0,1,0,147.51,112.91,11,2
p,0,0,0,0,123.04,106.38,5,9
f,0,0,1,0,140.68,117.01,17,4
z,1,1,1,0,160.72,113.98,11,8
d,1,1,0,0,141.03,123.34,18,4
d,1,1,0,0,153.14,112.56,6,6
f,0,0,1,0,143.71,110.94,6,5
d,1,1,0,0,150.65,118.07,9,3
f,0,0,1,0,137.79,128.59,16,5
p,0,0,0,0,150.79,122.01,16,10
b,1,0,0,0,135.35,121.43,6,7
p,0,0,0,0,144.42,122.88,8,3
p,0,0,0,0,144.54,118.0,16,8
z,1,1,1,0,165.68,126.03,13,10
s,0,1,1,0,158.87,113.1,3,10
f,0,0,1,0,135.21,110.79,4,10
t,0,1,0,0,145.2,116.19,3,2
f,0,0,1,0,142.18,106.42,12,9
b,1,0,0,0,140.27,119.23,6,6
z,1,1,1,0,161.17,123.64,8,10
v,1,0,1,0,130.19,116.01,18,3
s,0,1,1,0,165.92,115.97,10,6
p,0,0,0,0,140.75,115.31,9,8
p,0,0,0,0,134.94,120.9,17,6
d,1,1,0,0,156.62,119.18,16,6
d,1,1,0,0,141.59,121.47,19,8
z,1,1,1,0,149.36,125.92,5,4
b,1,0,0,0,136.74,120.94,7,4
d,1,1,0,0,144.16,124.61,19,7
v,1,0,1,0,141.16,111.22,18,1
s,0,1,1,0,159.15,111.36,1,9
f,0,0,1,0,146.86,103.68,19,4
v,1,0,1,0,133.33,116.79,19,8
s,0,1,1,0,150.64,102.4,18,9
b,1,0,0,0,138.74,107.53,16,4
t,0,1,0,0,160.22,114.99,11,6
z,1,1,1,0,151.76,121.5,6,7
d,1,1,0,0,143.51,117.97,7,4
s,0,1,1,0,162.73,116.2,11,6
d,1,1,0,0,142.73,118.37,7,2
s,0,1,1,0,151.08,108.35,18,1
s,0,1,1,0,156.57,111.72,14,2
z,1,1,1,0,161.64,129.19,13,3
f,0,0,1,0,142.48,115.93,4,8
s,0,1,1,0,163.5,116.36,10,10
s,0,1,1,0,163.65,119.18,10,1
t,0,1,0,0,148.06,119.2,14,9
p,0,0,0,0,142.44,116.12,12,8
p,0,0,0,0,134.27,116.52,18,5
v,1,0,1,0,139.07,128.93,14,7
z,1,1,1,0,151.91,106.46,2,3
d,1,1,0,0,144.05,116.09,17,5
f,0,0,1,0,135.61,122.45,17,9
b,1,0,0,0,143.54,126.66,15,8
s,0,1,1,0,157.69,113.22,3,2
d,1,1,0,0,162.43,117.15,11,10
b,1,0,0,0,141.29,125.51,10,10
p,0,0,0,0,130.84,117.52,18,1
d,1,1,0,0,149.84,120.94,8,6
s,0,1,1,0,163.01,111.07,1,10
b,1,0,0,0,119.3,119.5,20,10
b,1,0,0,0,139.09,111.29,3,4
b,1,0,0,0,143.05,121.7,1,4
b,1,0,0,0,134.49,114.49,2,10
z,1,1,1,0,151.23,119.67,17,3
b,1,0,0,0,126.05,111.45,5,8
t,0,1,0,0,152.66,111.26,2,10
v,1,0,1,0,140.23,114.13,18,8
z,1,1,1,0,161.95,122.79,9,7
b,1,0,0,0,131.57,115.43,18,2
z,1,1,1,0,152.29,122.1,6,3
p,0,0,0,0,134.65,117.4,5,8
s,0,1,1,0,148.04,107.28,5,7
b,1,0,0,0,141.24,123.28,7,6
b,1,0,0,0,125.77,114.01,19,5
p,0,0,0,0,144.43,123.66,10,8
p,0,0,0,0,145.94,119.08,14,2
d,1,1,0,0,140.18,114.13,7,9
p,0,0,0,0,144.23,118.08,12,10
b,1,0,0,0,136.6,122.2,10,6
z,1,1,1,0,146.29,123.96,19,4
f,0,0,1,0,134.42,100.22,18,6
b,1,0,0,0,132.51,120.67,16,1
z,1,1,1,0,154.31,124.88,12,10
s,0,1,1,0,157.7,100.99,20,7
d,1,1,0,0,145.96,123.44,15,1
p,0,0,0,0,139.64,114.15,13,2
s,0,1,1,0,164.53,116.73,1,7
b,1,0,0,0,136.23,116.26,15,6
t,0,1,0,0,153.67,122.23,13,10
b,1,0,0,0,128.93,122.22,5,9
b,1,0,0,0,140.39,122.29,15,2
d,1,1,0,0,155.13,122.46,9,6
b,1,0,0,0,130.64,119.47,15,7
p,0,0,0,0,142.01,113.0,3,6
v,1,0,1,0,141.29,130.53,14,6
f,0,0,1,0,145.12,108.44,19,7
z,1,1,1,0,163.54,121.14,15,2
p,0,0,0,0,134.45,108.68,20,2
s,0,1,1,0,158.6,115.25,3,7
p,0,0,0,0,131.44,111.53,19,7
d,1,1,0,0,147.19,118.65,14,4
v,1,0,1,0,142.12,119.81,13,2
f,0,0,1,0,136.89,105.3,2,4
v,1,0,1,0,151.92,117.41,9,10
f,0,0,1,0,135.57,109.87,16,4
d,1,1,0,0,163.34,124.47,11,5
s,0,1,1,0,150.05,106.48,17,7
z,1,1,1,0,164.58,120.56,15,5
p,0,0,0,0,138.9,112.81,6,4
f,0,0,1,0,148.9,112.7,11,8
f,0,0,1,0,151.98,114.82,8,6
f,0,0,1,0,155.35,113.3,10,7
s,0,1,1,0,153.65,116.16,3,1
z,1,1,1,0,146.8,104.13,2,8
z,1,1,1,0,158.23,126.84,1,1
b,1,0,0,0,134.83,120.29,1,10
t,0,1,0,0,146.05,117.53,18,6
f,0,0,1,0,143.92,105.55,20,5
t,0,1,0,0,157.75,121.85,9,2
d,1,1,0,0,143.45,109.84,12,2
v,1,0,1,0,126.01,106.91,5,7
t,0,1,0,0,154.5,119.39,14,4
f,0,0,1,0,141.66,102.44,19,8
d,1,1,0,0,142.49,116.77,6,10
f,0,0,1,0,144.15,105.15,7,4
t,0,1,0,0,155.16,116.21,7,3
b,1,0,0,0,144.7,121.31,8,3
t,0,1,0,0,147.72,115.97,20,8
d,1,1,0,0,141.6,116.14,5,2
v,1,0,1,0,125.71,113.85,6,10
b,1,0,0,0,134.99,114.78,6,3
s,0,1,1,0,157.97,111.41,6,1
b,1,0,0,0,123.72,110.74,20,5
z,1,1,1,0,165.48,112.99,11,6
b,1,0,0,0,132.49,121.12,14,8
v,1,0,1,0,140.81,123.32,3,5
f,0,0,1,0,144.9,108.94,19,9
f,0,0,1,0,145.17,111.47,11,6
v,1,0,1,0,150.78,121.03,8,2
f,0,0,1,0,123.61,102.93,5,1
s,0,1,1,0,164.27,110.78,13,1
v,1,0,1,0,134.91,116.38,19,1
b,1,0,0,0,140.06,131.72,8,5
p,0,0,0,0,141.15,113.36,11,4
v,1,0,1,0,132.46,102.09,18,10
s,0,1,1,0,163.3,108.12,7,7
p,0,0,0,0,150.37,125.08,10,2
s,0,1,1,0,145.71,108.02,5,4
v,1,0,1,0,137.22,121.96,14,1
t,0,1,0,0,158.2,121.83,10,6
p,0,0,0,0,144.4,115.36,12,9
f,0,0,1,0,151.92,114.66,16,7
b,1,0,0,0,135.97,114.46,4,5
v,1,0,1,0,134.8,116.93,2,7
f,0,0,1,0,142.8,114.36,17,1
v,1,0,1,0,146.36,116.43,9,7
b,1,0,0,0,136.26,125.99,20,6
t,0,1,0,0,145.29,113.23,20,10
z,1,1,1,0,158.02,128.95,10,1
s,0,1,1,0,160.34,106.86,9,9
p,0,0,0,0,138.6,114.13,17,2
d,1,1,0,0,142.94,116.87,7,6
p,0,0,0,0,146.42,119.56,14,5
s,0,1,1,0,168.09,116.02,16,8
v,1,0,1,0,135.49,125.07,4,4
b,1,0,0,0,142.33,124.51,13,1
p,0,0,0,0,142.86,119.24,4,9
z,1,1,1,0,153.35,123.66,4,9
v,1,0,1,0,143.17,124.46,19,4
s,0,1,1,0,167.12,109.57,1,5
p,0,0,0,0,139.18,120.25,17,1
v,1,0,1,0,136.7,120.76,16,5
p,0,0,0,0,131.81,105.74,20,3
t,0,1,0,0,155.96,125.32,14,6
p,0,0,0,0,143.38,120.56,13,1
t,0,1,0,0,141.03,107.47,18,2
b,1,0,0,0,139.33,116.78,9,5
p,0,0,0,0,132.68,105.77,20,9
s,0,1,1,0,164.41,117.96,8,7
t,0,1,0,0,151.76,112.64,12,2
z,1,1,1,0,146.79,121.38,19,2
f,0,0,1,0,141.02,114.18,6,3
p,0,0,0,0,142.08,120.19,1,9
b,1,0,0,0,143.8,121.25,4,2
z,1,1,1,0,149.86,112.11,2,9
t,0,1,0,0,141.8,107.47,19,1
f,0,0,1,0,139.54,122.22,7,10
v,1,0,1,0,149.05,107.59,9,8
v,1,0,1,0,148.39,115.59,11,7
t,0,1,0,0,153.14,115.66,15,3
t,0,1,0,0,157.56,118.67,9,1
f,0,0,1,0,135.56,107.03,17,8
p,0,0,0,0,134.01,107.58,20,4
d,1,1,0,0,145.69,111.26,15,5
v,1,0,1,0,147.23,122.92,1,1
p,0,0,0,0,148.74,124.12,8,8
