consonant,voice,place,manner,prosody,noipow,voipow,subject,token
z,1,1,1,0,161.69,114.23,11,7
z,1,1,1,0,148.25,131.42,20,7
p,0,0,0,0,142.2,120.0,12,7
z,1,1,1,0,163.02,118.18,10,9
t,0,1,0,0,157.37,124.66,8,7
b,1,0,0,0,138.75,112.0,10,4
b,1,0,0,0,135.16,123.9,18,8
f,0,0,1,0,136.52,103.78,7,5
t,0,1,0,0,158.25,117.37,8,1
p,0,0,0,0,141.21,110.85,2,10
z,1,1,1,0,151.69,127.62,14,9
p,0,0,0,0,149.48,117.42,16,2
p,0,0,0,0,150.47,123.97,4,4
t,0,1,0,0,151.18,112.08,13,8
t,0,1,0,0,155.36,119.61,13,7
d,1,1,0,0,162.95,123.58,10,3
p,0,0,0,0,135.25,115.1,17,9
z,1,1,1,0,144.49,124.79,5,5
z,1,1,1,0,160.24,120.83,4,6
p,0,0,0,0,146.45,115.16,14,7
v,1,0,1,0,132.19,118.13,17,6
t,0,1,0,0,161.69,119.04,1,5
d,1,1,0,0,159.43,118.08,10,6
f,0,0,1,0,129.93,109.13,5,2
v,1,0,1,0,143.16,119.08,3,2
b,1,0,0,0,136.93,116.84,11,4
f,0,0,1,0,158.61,116.12,10,4
b,1,0,0,0,122.14,107.26,2,3
f,0,0,1,0,143.27,105.36,13,6
d,1,1,0,0,141.75,116.89,4,4
f,0,0,1,0,140.06,101.8,20,7
b,1,0,0,0,133.06,116.56,3,6
p,0,0,0,0,139.67,113.61,7,7
p,0,0,0,0,136.78,124.7,19,3
d,1,1,0,0,141.65,111.8,2,4
b,1,0,0,0,142.25,122.2,9,7
b,1,0,0,0,139.51,118.27,9,6
b,1,0,0,0,130.5,118.67,19,6
f,0,0,1,0,145.38,113.95,14,10
v,1,0,1,0,130.76,116.59,13,1
z,1,1,1,0,161.7,108.73,11,4
f,0,0,1,0,134.08,107.47,5,4
s,0,1,1,0,165.32,109.58,16,1
b,1,0,0,0,136.59,121.14,7,8
v,1,0,1,0,126.08,110.9,5,4
d,1,1,0,0,141.93,109.41,18,9
z,1,1,1,0,157.16,125.13,6,4
s,0,1,1,0,143.18,107.37,5,6
b,1,0,0,0,131.16,110.15,13,8
v,1,0,1,0,143.69,129.26,8,9
d,1,1,0,0,140.18,125.48,17,10
s,0,1,1,0,160.83,114.66,9,10
d,1,1,0,0,142.33,120.51,3,5
t,0,1,0,0,146.35,110.17,20,7
d,1,1,0,0,147.89,113.96,16,5
