consonant,voice,place,manner,prosody,condur,vowdur,subject,token
t,0,1,0,1,211,193,7,2
f,0,0,1,1,202,297,12,8
t,0,1,0,1,175,205,7,5
p,0,0,0,1,143,168,1,1
s,0,1,1,1,168,273,16,2
p,0,0,0,1,115,229,7,4
d,1,1,0,1,116,284,3,9
f,0,0,1,1,173,191,9,2
v,1,0,1,1,173,326,5,9
d,1,1,0,1,130,297,12,3
z,1,1,1,1,194,316,5,8
t,0,1,0,1,276,105,15,8
p,0,0,0,1,157,204,3,1
s,0,1,1,1,258,280,7,1
b,1,0,0,1,206,240,12,4
b,1,0,0,1,133,227,16,6
z,1,1,1,1,170,278,13,3
t,0,1,0,1,106,193,5,3
b,1,0,0,1,139,197,2,5
t,0,1,0,1,174,202,4,5
f,0,0,1,1,179,277,7,1
t,0,1,0,1,200,217,9,9
t,0,1,0,1,209,182,12,10
b,1,0,0,1,152,184,17,7
d,1,1,0,1,150,184,17,8
s,0,1,1,1,182,249,5,3
b,1,0,0,1,138,268,6,10
d,1,1,0,1,127,208,17,5
v,1,0,1,1,177,317,2,3
s,0,1,1,1,268,311,10,6
p,0,0,0,1,159,280,3,10
v,1,0,1,1,175,293,20,8
p,0,0,0,1,292,217,10,6
t,0,1,0,1,180,200,1,6
t,0,1,0,1,167,218,11,7
s,0,1,1,1,164,218,1,2
d,1,1,0,1,120,268,6,10
t,0,1,0,1,187,191,18,2
s,0,1,1,1,199,185,1,5
f,0,0,1,1,218,246,8,3
p,0,0,0,1,194,169,16,7
p,0,0,0,1,245,126,17,1
b,1,0,0,1,122,275,7,2
p,0,0,0,1,105,155,19,9
f,0,0,1,1,268,235,20,6
b,1,0,0,1,177,288,14,3
b,1,0,0,1,157,266,7,4
b,1,0,0,1,132,314,14,2
d,1,1,0,1,126,279,9,4
s,0,1,1,1,185,195,9,2
s,0,1,1,1,201,239,1,3
t,0,1,0,1,173,185,5,4
b,1,0,0,1,58,244,4,3
z,1,1,1,1,120,244,11,4
v,1,0,1,1,137,358,10,1
p,0,0,0,1,130,175,19,2
f,0,0,1,1,177,196,9,1
d,1,1,0,1,86,223,1,5
v,1,0,1,1,146,342,12,7
s,0,1,1,1,269,247,20,3
f,0,0,1,1,264,253,10,8
s,0,1,1,1,250,261,8,5
s,0,1,1,1,280,217,18,1
s,0,1,1,1,228,201,19,4
z,1,1,1,1,203,271,4,4
z,1,1,1,1,134,354,20,8
s,0,1,1,1,196,313,3,1
d,1,1,0,1,95,237,19,3
b,1,0,0,1,111,202,13,5
s,0,1,1,1,319,235,8,9
d,1,1,0,1,140,237,13,2
z,1,1,1,1,199,305,6,1
f,0,0,1,1,138,266,7,9
t,0,1,0,1,227,184,6,5
d,1,1,0,1,113,220,13,7
s,0,1,1,1,288,231,12,9
p,0,0,0,1,131,141,1,7
f,0,0,1,1,193,223,9,4
d,1,1,0,1,119,227,19,5
s,0,1,1,1,244,164,19,2
t,0,1,0,1,247,223,3,1
p,0,0,0,1,203,165,16,1
p,0,0,0,1,208,172,5,3
d,1,1,0,1,130,171,17,4
d,1,1,0,1,88,272,9,7
d,1,1,0,1,150,263,8,8
p,0,0,0,1,142,203,4,7
v,1,0,1,1,116,332,20,3
t,0,1,0,1,250,223,7,6
z,1,1,1,1,181,275,18,5
b,1,0,0,1,116,211,9,2
f,0,0,1,1,210,240,19,5
f,0,0,1,1,212,242,4,9
d,1,1,0,1,122,302,9,8
p,0,0,0,1,192,112,15,8
p,0,0,0,1,157,195,20,2
z,1,1,1,1,161,296,15,1
b,1,0,0,1,110,247,19,10
b,1,0,0,1,134,203,18,7
v,1,0,1,1,122,355,12,10
p,0,0,0,1,142,154,1,9
d,1,1,0,1,153,358,14,4
v,1,0,1,1,144,236,1,10
s,0,1,1,1,319,217,20,4
v,1,0,1,1,130,392,20,1
z,1,1,1,1,189,236,13,10
d,1,1,0,1,136,297,9,9
p,0,0,0,1,158,219,4,3
t,0,1,0,1,235,205,2,3
s,0,1,1,1,267,267,8,4
f,0,0,1,1,219,236,16,3
p,0,0,0,1,143,226,7,6
f,0,0,1,1,218,159,17,4
d,1,1,0,1,110,241,19,2
d,1,1,0,1,83,283,4,2
f,0,0,1,1,273,245,16,7
v,1,0,1,1,220,252,2,9
