consonant,voice,place,manner,prosody,condur,vowdur,subject,token
b,1,0,0,0,13,280,12,6
b,1,0,0,0,8,212,14,8
z,1,1,1,0,112,220,8,2
d,1,1,0,0,12,361,3,6
z,1,1,1,0,84,236,6,6
t,0,1,0,0,80,260,7,8
f,0,0,1,0,100,230,19,3
f,0,0,1,0,134,372,15,2
b,1,0,0,0,10,342,3,8
d,1,1,0,0,14,271,5,5
v,1,0,1,0,75,255,16,5
p,0,0,0,0,121,291,14,1
d,1,1,0,0,16,242,7,2
p,0,0,0,0,89,276,3,5
z,1,1,1,0,75,231,11,5
v,1,0,1,0,41,243,18,8
b,1,0,0,0,28,318,10,4
t,0,1,0,0,87,252,15,4
v,1,0,1,0,70,210,13,8
t,0,1,0,0,140,266,12,7
b,1,0,0,0,15,184,1,1
t,0,1,0,0,96,213,15,10
d,1,1,0,0,18,254,6,7
f,0,0,1,0,181,302,10,9
t,0,1,0,0,139,229,20,9
f,0,0,1,0,113,191,19,5
f,0,0,1,0,163,273,16,1
b,1,0,0,0,11,216,16,2
f,0,0,1,0,180,226,8,6
t,0,1,0,0,55,279,7,6
v,1,0,1,0,175,251,20,1
p,0,0,0,0,27,224,5,10
b,1,0,0,0,26,249,10,2
p,0,0,0,0,95,230,12,6
s,0,1,1,0,131,235,19,8
f,0,0,1,0,195,339,3,1
t,0,1,0,0,91,169,8,4
p,0,0,0,0,47,222,7,3
d,1,1,0,0,14,284,7,3
b,1,0,0,0,24,367,10,7
s,0,1,1,0,164,298,10,8
z,1,1,1,0,125,231,10,2
b,1,0,0,0,81,251,4,3
v,1,0,1,0,97,306,5,7
p,0,0,0,0,160,365,10,6
b,1,0,0,0,7,223,13,1
f,0,0,1,0,153,259,11,8
s,0,1,1,0,165,222,8,3
v,1,0,1,0,116,173,17,4
f,0,0,1,0,129,331,12,6
d,1,1,0,0,31,350,10,1
z,1,1,1,0,163,269,17,3
f,0,0,1,0,65,264,7,5
p,0,0,0,0,82,229,9,6
p,0,0,0,0,64,245,1,2
p,0,0,0,0,92,271,14,9
s,0,1,1,0,181,173,17,3
p,0,0,0,0,54,236,9,2
s,0,1,1,0,197,386,10,7
d,1,1,0,0,51,276,4,8
v,1,0,1,0,83,224,8,4
t,0,1,0,0,55,212,6,10
t,0,1,0,0,71,199,1,6
f,0,0,1,0,201,339,10,10
s,0,1,1,0,133,319,18,4
d,1,1,0,0,7,313,4,9
d,1,1,0,0,31,180,17,4
t,0,1,0,0,72,278,3,5
v,1,0,1,0,111,223,6,2
p,0,0,0,0,75,266,4,8
z,1,1,1,0,75,291,4,10
f,0,0,1,0,183,260,14,5
t,0,1,0,0,95,233,6,3
b,1,0,0,0,27,232,12,1
d,1,1,0,0,12,195,19,6
v,1,0,1,0,92,254,14,3
s,0,1,1,0,218,230,8,9
t,0,1,0,0,67,289,3,7
b,1,0,0,0,24,211,13,6
z,1,1,1,0,100,353,15,6
b,1,0,0,0,9,322,2,10
d,1,1,0,0,14,314,9,7
v,1,0,1,0,79,244,14,1
f,0,0,1,0,176,280,9,2
t,0,1,0,0,64,319,2,8
t,0,1,0,0,40,239,5,5
b,1,0,0,0,15,340,10,1
b,1,0,0,0,13,233,11,1
s,0,1,1,0,133,209,11,5
d,1,1,0,0,17,211,1,8
b,1,0,0,0,13,303,11,4
p,0,0,0,0,55,299,18,10
f,0,0,1,0,110,216,6,2
d,1,1,0,0,22,283,7,10
b,1,0,0,0,155,225,20,6
f,0,0,1,0,167,227,14,7
z,1,1,1,0,111,248,11,8
z,1,1,1,0,104,285,7,5
v,1,0,1,0,63,228,11,6
z,1,1,1,0,105,292,19,6
t,0,1,0,0,105,254,6,7
f,0,0,1,0,174,341,3,10
v,1,0,1,0,46,239,13,10
d,1,1,0,0,82,199,1,4
d,1,1,0,0,15,289,14,1
t,0,1,0,0,81,318,15,1
z,1,1,1,0,278,194,20,3
b,1,0,0,0,11,185,19,5
s,0,1,1,0,98,278,6,5
p,0,0,0,0,87,215,11,10
b,1,0,0,0,6,224,13,2
d,1,1,0,0,18,217,5,10
v,1,0,1,0,74,257,10,3
b,1,0,0,0,10,279,9,6
b,1,0,0,0,27,248,11,6
f,0,0,1,0,98,271,16,10
t,0,1,0,0,96,273,4,8
f,0,0,1,0,146,209,8,4
t,0,1,0,0,82,258,4,3
f,0,0,1,0,111,275,13,10
f,0,0,1,0,141,219,1,3
b,1,0,0,0,16,185,17,10
s,0,1,1,0,181,249,5,10
b,1,0,0,0,21,260,16,9
f,0,0,1,0,153,289,9,4
v,1,0,1,0,61,263,16,1
d,1,1,0,0,20,270,9,1
v,1,0,1,0,101,368,12,8
t,0,1,0,0,53,241,5,7
b,1,0,0,0,12,261,7,5
s,0,1,1,0,167,302,15,5
f,0,0,1,0,44,339,7,6
t,0,1,0,0,95,272,4,5
t,0,1,0,0,85,185,17,8
v,1,0,1,0,20,280,2,5
b,1,0,0,0,61,162,17,3
d,1,1,0,0,15,291,13,8
v,1,0,1,0,125,365,3,3
v,1,0,1,0,61,248,18,2
t,0,1,0,0,48,189,19,1
s,0,1,1,0,181,256,9,1
d,1,1,0,0,14,213,17,3
t,0,1,0,0,93,191,13,10
v,1,0,1,0,31,283,15,5
z,1,1,1,0,84,328,12,2
v,1,0,1,0,51,374,12,9
f,0,0,1,0,51,223,11,5
b,1,0,0,0,16,298,12,5
z,1,1,1,0,170,302,20,2
d,1,1,0,0,21,237,13,2
f,0,0,1,0,67,234,4,5
d,1,1,0,0,21,284,7,8
z,1,1,1,0,124,366,3,6
t,0,1,0,0,113,345,3,8
z,1,1,1,0,93,275,16,3
v,1,0,1,0,93,214,6,1
s,0,1,1,0,141,214,16,10
z,1,1,1,0,168,247,20,5
p,0,0,0,0,90,153,16,2
z,1,1,1,0,84,233,16,5
p,0,0,0,0,66,207,6,9
b,1,0,0,0,15,233,7,4
d,1,1,0,0,36,413,10,7
v,1,0,1,0,75,262,18,6
b,1,0,0,0,11,322,15,8
d,1,1,0,0,21,254,16,6
z,1,1,1,0,94,229,13,9
v,1,0,1,0,58,340,12,7
b,1,0,0,0,27,199,6,1
p,0,0,0,0,72,251,7,6
v,1,0,1,0,48,293,12,3
p,0,0,0,0,63,316,15,7
d,1,1,0,0,16,270,5,4
p,0,0,0,0,45,270,2,7
z,1,1,1,0,98,252,6,8
s,0,1,1,0,180,292,7,2
z,1,1,1,0,131,221,6,3
b,1,0,0,0,12,288,18,8
v,1,0,1,0,48,241,7,2
v,1,0,1,0,70,294,11,8
p,0,0,0,0,68,191,6,3
f,0,0,1,0,90,233,17,8
f,0,0,1,0,97,257,11,3
f,0,0,1,0,171,274,8,1
b,1,0,0,0,25,324,2,9
f,0,0,1,0,211,231,20,9
p,0,0,0,0,78,222,14,7
p,0,0,0,0,66,196,18,1
b,1,0,0,0,14,281,18,5
f,0,0,1,0,183,281,10,7
v,1,0,1,0,62,228,11,3
v,1,0,1,0,68,331,15,4
p,0,0,0,0,132,253,20,8
p,0,0,0,0,49,279,2,6
s,0,1,1,0,192,343,10,10
z,1,1,1,0,140,265,5,4
d,1,1,0,0,32,334,11,6
s,0,1,1,0,168,185,8,6
s,0,1,1,0,110,293,7,8
d,1,1,0,0,65,207,19,2
d,1,1,0,0,10,313,3,5
d,1,1,0,0,14,248,5,8
f,0,0,1,0,112,265,5,1
f,0,0,1,0,133,278,4,1
v,1,0,1,0,63,219,17,7
v,1,0,1,0,62,224,19,6
s,0,1,1,0,162,255,11,6
d,1,1,0,0,21,231,18,6
d,1,1,0,0,13,245,8,4
p,0,0,0,0,52,319,2,3
s,0,1,1,0,149,267,7,6
t,0,1,0,0,89,283,15,6
t,0,1,0,0,110,281,3,10
t,0,1,0,0,73,317,9,7
s,0,1,1,0,168,316,2,10
d,1,1,0,0,17,208,1,1
f,0,0,1,0,153,163,1,8
s,0,1,1,0,184,310,10,3
d,1,1,0,0,31,183,17,8
f,0,0,1,0,184,317,10,6
b,1,0,0,0,83,204,19,7
t,0,1,0,0,109,204,10,4
s,0,1,1,0,166,285,16,3
b,1,0,0,0,16,306,12,2
t,0,1,0,0,99,310,15,3
p,0,0,0,0,77,253,13,2
f,0,0,1,0,168,261,20,5
v,1,0,1,0,103,403,9,10
d,1,1,0,0,8,289,16,10
s,0,1,1,0,162,278,9,4
b,1,0,0,0,8,198,13,4
v,1,0,1,0,5,311,2,9
s,0,1,1,0,161,331,2,9
d,1,1,0,0,10,297,12,5
s,0,1,1,0,139,286,4,5
b,1,0,0,0,110,167,1,7
v,1,0,1,0,97,270,7,3
v,1,0,1,0,65,330,9,1
d,1,1,0,0,118,156,1,9
b,1,0,0,0,16,315,11,7
z,1,1,1,0,166,313,10,6
s,0,1,1,0,153,220,16,8
p,0,0,0,0,64,357,15,1
b,1,0,0,0,10,357,12,9
s,0,1,1,0,201,276,5,7
t,0,1,0,0,74,207,16,10
d,1,1,0,0,22,272,2,6
t,0,1,0,0,39,242,5,6
f,0,0,1,0,124,230,6,8
p,0,0,0,0,37,264,11,7
b,1,0,0,0,12,287,3,4
p,0,0,0,0,99,355,10,10
s,0,1,1,0,141,200,17,1
t,0,1,0,0,86,170,17,5
t,0,1,0,0,96,385,9,8
z,1,1,1,0,150,268,14,7
z,1,1,1,0,107,376,3,2
v,1,0,1,0,83,197,1,8
s,0,1,1,0,213,236,6,1
d,1,1,0,0,13,248,1,3
p,0,0,0,0,79,202,6,4
t,0,1,0,0,83,202,16,8
z,1,1,1,0,127,195,1,8
d,1,1,0,0,28,305,13,1
s,0,1,1,0,208,216,6,3
z,1,1,1,0,134,271,12,3
f,0,0,1,0,77,256,4,4
p,0,0,0,0,84,197,13,1
d,1,1,0,0,17,317,12,6
v,1,0,1,0,129,283,20,6
f,0,0,1,0,29,329,7,8
p,0,0,0,0,70,259,12,2
s,0,1,1,0,168,187,17,5
f,0,0,1,0,59,288,2,4
b,1,0,0,0,50,163,17,6
b,1,0,0,0,8,326,2,1
d,1,1,0,0,20,274,12,1
p,0,0,0,0,56,168,19,1
s,0,1,1,0,309,213,20,6
s,0,1,1,0,177,245,6,4
t,0,1,0,0,70,289,2,10
s,0,1,1,0,185,230,15,7
z,1,1,1,0,90,224,19,3
d,1,1,0,0,15,343,3,1
f,0,0,1,0,159,239,6,3
f,0,0,1,0,132,243,6,9
s,0,1,1,0,146,305,12,6
z,1,1,1,0,99,355,9,3
p,0,0,0,0,68,226,11,4
p,0,0,0,0,67,264,7,5
t,0,1,0,0,128,225,14,7
d,1,1,0,0,19,356,12,10
z,1,1,1,0,68,252,13,5
t,0,1,0,0,85,310,12,6
f,0,0,1,0,179,232,6,4
d,1,1,0,0,70,252,4,6
f,0,0,1,0,123,283,18,3
p,0,0,0,0,64,264,4,5
t,0,1,0,0,76,224,9,2
f,0,0,1,0,165,251,10,1
s,0,1,1,0,144,217,16,1
s,0,1,1,0,149,241,6,7
b,1,0,0,0,15,319,2,2
d,1,1,0,0,29,273,11,3
b,1,0,0,0,12,336,9,8
b,1,0,0,0,61,346,15,2
p,0,0,0,0,89,163,1,10
b,1,0,0,0,16,236,11,2
f,0,0,1,0,74,298,15,7
v,1,0,1,0,150,224,20,5
f,0,0,1,0,200,387,10,8
b,1,0,0,0,10,239,14,5
s,0,1,1,0,126,167,13,4
v,1,0,1,0,102,202,17,10
b,1,0,0,0,9,222,18,9
s,0,1,1,0,162,274,16,4
s,0,1,1,0,132,255,19,10
d,1,1,0,0,47,293,10,3
f,0,0,1,0,105,225,19,7
t,0,1,0,0,74,276,7,1
t,0,1,0,0,86,328,15,2
s,0,1,1,0,176,280,3,3
b,1,0,0,0,154,229,20,4
z,1,1,1,0,133,334,2,9
f,0,0,1,0,135,285,9,6
d,1,1,0,0,14,253,13,5
f,0,0,1,0,185,268,20,3
t,0,1,0,0,77,256,12,1
p,0,0,0,0,61,141,19,6
f,0,0,1,0,121,323,2,7
p,0,0,0,0,31,265,5,9
t,0,1,0,0,64,229,18,2
s,0,1,1,0,185,349,15,2
p,0,0,0,0,125,273,20,1
s,0,1,1,0,193,379,9,9
p,0,0,0,0,103,280,14,6
p,0,0,0,0,27,190,19,2
p,0,0,0,0,101,254,20,6
s,0,1,1,0,170,322,20,2
z,1,1,1,0,135,299,10,5
t,0,1,0,0,69,259,2,2
f,0,0,1,0,91,279,11,10
z,1,1,1,0,123,212,1,5
f,0,0,1,0,136,276,18,4
v,1,0,1,0,64,431,3,6
f,0,0,1,0,139,220,19,8
p,0,0,0,0,131,317,10,8
s,0,1,1,0,174,156,1,9
f,0,0,1,0,149,217,8,8
d,1,1,0,0,87,295,4,1
t,0,1,0,0,86,223,16,3
t,0,1,0,0,111,301,12,8
d,1,1,0,0,20,234,4,5
p,0,0,0,0,102,245,8,1
s,0,1,1,0,151,282,15,10
z,1,1,1,0,57,216,6,10
v,1,0,1,0,66,188,13,6
z,1,1,1,0,104,309,12,5
s,0,1,1,0,196,238,8,8
z,1,1,1,0,101,270,9,2
z,1,1,1,0,87,241,19,8
t,0,1,0,0,76,258,12,5
z,1,1,1,0,79,283,4,8
t,0,1,0,0,66,352,3,6
t,0,1,0,0,69,152,1,10
t,0,1,0,0,64,205,1,4
d,1,1,0,0,22,248,18,2
z,1,1,1,0,81,290,16,6
d,1,1,0,0,12,290,18,8
b,1,0,0,0,10,275,3,9
b,1,0,0,0,12,384,10,5
z,1,1,1,0,108,233,13,7
s,0,1,1,0,201,314,3,5
v,1,0,1,0,95,235,4,1
t,0,1,0,0,53,220,13,9
d,1,1,0,0,29,211,17,5
p,0,0,0,0,72,249,15,6
s,0,1,1,0,127,225,13,3
t,0,1,0,0,60,264,2,6
p,0,0,0,0,96,251,4,7
b,1,0,0,0,19,268,7,9
p,0,0,0,0,53,263,18,3
s,0,1,1,0,139,207,6,9
s,0,1,1,0,149,281,15,9
v,1,0,1,0,157,252,14,5
f,0,0,1,0,58,292,9,3
f,0,0,1,0,111,304,15,5
t,0,1,0,0,71,232,17,3
v,1,0,1,0,92,375,10,8
s,0,1,1,0,180,260,2,3
b,1,0,0,0,94,213,4,2
p,0,0,0,0,87,216,16,7
f,0,0,1,0,167,137,17,9
p,0,0,0,0,75,292,2,1
s,0,1,1,0,142,313,18,7
f,0,0,1,0,187,309,10,4
d,1,1,0,0,19,336,15,1
t,0,1,0,0,72,254,18,10
d,1,1,0,0,9,261,16,3
d,1,1,0,0,16,294,18,7
z,1,1,1,0,123,343,10,1
z,1,1,1,0,158,193,1,7
f,0,0,1,0,169,323,2,8
p,0,0,0,0,86,315,3,2
d,1,1,0,0,111,207,1,6
t,0,1,0,0,58,277,7,4
d,1,1,0,0,77,261,19,9
t,0,1,0,0,136,193,10,6
s,0,1,1,0,130,230,19,5
d,1,1,0,0,11,259,6,10
f,0,0,1,0,86,269,7,2
v,1,0,1,0,132,236,14,2
z,1,1,1,0,152,342,15,7
z,1,1,1,0,78,293,11,7
v,1,0,1,0,36,240,13,7
t,0,1,0,0,84,267,9,3
z,1,1,1,0,121,259,5,9
s,0,1,1,0,133,282,2,2
v,1,0,1,0,13,262,7,4
t,0,1,0,0,82,282,4,10
p,0,0,0,0,132,262,10,2
b,1,0,0,0,6,221,16,4
d,1,1,0,0,19,252,13,3
b,1,0,0,0,32,230,17,5
d,1,1,0,0,17,267,9,8
v,1,0,1,0,110,266,5,4
v,1,0,1,0,100,183,1,7
p,0,0,0,0,77,243,7,1
t,0,1,0,0,72,202,16,7
v,1,0,1,0,77,286,4,8
v,1,0,1,0,37,234,11,10
d,1,1,0,0,27,347,12,9
t,0,1,0,0,92,218,14,6
f,0,0,1,0,73,313,7,10
s,0,1,1,0,142,260,19,2
t,0,1,0,0,124,158,17,10
z,1,1,1,0,53,250,16,4
z,1,1,1,0,175,331,9,4
t,0,1,0,0,111,227,8,9
v,1,0,1,0,36,244,6,4
f,0,0,1,0,136,185,17,5
t,0,1,0,0,87,324,7,5
d,1,1,0,0,85,261,14,9
t,0,1,0,0,100,215,14,2
s,0,1,1,0,139,203,13,7
p,0,0,0,0,67,353,2,9
v,1,0,1,0,59,273,13,1
p,0,0,0,0,69,158,17,4
z,1,1,1,0,143,333,3,10
t,0,1,0,0,61,281,7,9
d,1,1,0,0,17,250,14,5
z,1,1,1,0,84,275,16,10
b,1,0,0,0,30,291,18,6
p,0,0,0,0,109,223,8,6
b,1,0,0,0,10,216,6,10
z,1,1,1,0,145,376,9,8
