idx,Talker,TalkerID,Vowel,VowelNum,Fricative,FricativeNum,Rep,HasPerceptualData,F0,F1,F2,F3,F4,F5,maxpf,rms_f,rms_v,dur_f,dur_v,lowF,F3ampF,F3ampV,F5ampF,F5ampV,M1,M2,M3,M4,M1trans,M2trans,M3trans,M4trans
54,M6,1,eh,3,v,2,3,0,117.2741605,544.26538,1531.677464,2561.531224,3477.704093,5026.103472,8684,64.62,75.15,73,133,42.349,-27.287,2.625,-32.25,-14.867,6462.825,3150.997699,-1.295,0.955,3366.7,9512236.7,0.8,-0.88
55,M6,1,eh,3,th,3,1,0,111.5416618,563.904485,1594.025769,2573.912011,4056.406983,5351.200535,8220,52.11,76.95,121,137,26.248,-29.192,-1.1,-20.41,-19.418,6923.69,1489.523783,-0.715,0.565,3021.23,9396330.5,1,-0.54
56,M6,1,eh,3,th,3,2,0,110.4110261,551.762284,1593.792904,2612.357589,4107.340674,5335.857186,8474,51.58,77.64,136,141,25.413,-26.282,3.06,-23.027,-18.457,6727.065,1627.010003,-0.87,1.365,3021.71,8724941.1,0.98,-0.52
57,M6,1,eh,3,th,3,3,0,109.0962711,586.617801,1534.842963,2563.242408,3979.812955,5273.971238,7523,56.89,75.51,128,118,35.8,-21.668,-3.841,-37.183,-21.229,7051.47,1307.699222,-1.55,9.62,2741.59,9449680.1,1.17,-0.29
58,M6,1,eh,3,dh,4,1,0,115.0658912,442.318548,1574.268027,2582.995086,4037.366838,5001.87032,6477,67.53,76.55,64,140,44.608,-11.369,0.727,-20.876,-25.142,6571.22,2580.719328,-1.385,1.625,4154.78,10247384,0.21,-1.53
59,M6,1,eh,3,dh,4,2,0,107.2841176,389.513063,1589.644621,2587.781885,4037.981661,5074.80916,8103,67.76,76.06,78,129,45.71,-17.088,-5.107,-14.804,-22.336,6826.9,2257.790004,-1.68,3.785,4943.07,10940789,-0.27,-1.58
60,M6,1,eh,3,dh,4,3,0,110.1931812,400.792647,1525.909222,2515.881587,4007.671478,5459.665512,7854,68.54,75.87,52,143,44.79,-14.947,-8.564,-34.094,-24.321,3909.74,3433.359579,0.175,-1.655,2767.85,9717229.4,0.98,-0.75
61,M6,1,eh,3,s,5,1,0,108.6745229,599.623672,1621.103579,2630.202671,3934.735941,5514.690478,7751,63.56,76.85,144,128,31.459,-28.111,7.328,-25.973,-16.7,7484.065,999.3832798,-0.515,1.545,1722.58,2711640.7,2.28,5.62
62,M6,1,eh,3,s,5,2,0,105.5145481,566.41335,1589.181213,2512.8847,4096.657204,4970.661837,6919,62.44,73.18,150,135,33.748,-21.608,-1.182,-35.881,-30.176,7337.94,915.430691,-0.09,1.955,1611.38,3042452.5,2.45,6.36
63,M6,1,eh,3,s,5,3,0,104.061302,532.195015,1569.772492,2507.889891,3996.432455,5265.696177,7962,64.46,75.04,139,127,29.24,-19.993,-2.198,-31.005,-23.229,7361.98,842.0317749,-0.64,3.23,2758.51,9541531.2,1.23,-0.1
64,M6,1,eh,3,z,6,1,0,110.6192342,389.157012,1628.558068,2725.893927,4206.575972,5174.515382,8545,67.85,76.28,80,128,45.424,-17.318,-5.249,-19.508,-30.173,7685.295,1114.354768,-2.075,10.2,5515.89,8179442.3,-0.92,-0.68
65,M6,1,eh,3,z,6,2,0,108.5833706,524.924923,1574.546295,2608.746607,4171.24739,5078.945107,8609,67.97,75.73,100,121,44.98,-13.275,0.027,-26.833,-24.36,7851.23,1280.763194,-1.545,5.68,4562.39,11563905,0,-1.71
