consonant,voice,place,manner,prosody,noipow,voipow,subject,token
f,0,0,1,1,145.88,113.77,10,10
f,0,0,1,1,151.52,117.4,8,8
z,1,1,1,1,140.79,118.92,7,6
p,0,0,0,1,119.14,105.78,5,6
v,1,0,1,1,124.5,108.58,5,6
p,0,0,0,1,140.38,114.16,9,5
v,1,0,1,1,127.16,105.28,5,10
p,0,0,0,1,147.84,120.01,13,3
s,0,1,1,1,163.1,113.87,9,6
b,1,0,0,1,124.43,115.7,19,3
s,0,1,1,1,152.73,112.44,8,8
f,0,0,1,1,153.33,121.12,9,5
z,1,1,1,1,148.87,113.17,6,6
s,0,1,1,1,161.91,115.02,12,7
v,1,0,1,1,142.21,109.96,19,2
d,1,1,0,1,146.9,128.17,13,5
f,0,0,1,1,135.52,110.7,17,3
d,1,1,0,1,135.36,119.43,12,8
d,1,1,0,1,145.96,118.13,4,5
s,0,1,1,1,160.78,112.49,15,1
t,0,1,0,1,151.59,115.67,14,2
s,0,1,1,1,158.44,116.51,11,7
p,0,0,0,1,146.65,122.12,8,6
t,0,1,0,1,149.85,107.56,11,8
d,1,1,0,1,138.73,114.4,6,7
p,0,0,0,1,131.84,108.43,7,2
d,1,1,0,1,144.74,119.21,11,1
z,1,1,1,1,160.26,113.9,16,7
d,1,1,0,1,150.14,120.68,10,4
v,1,0,1,1,145.35,124.8,3,6
f,0,0,1,1,144.07,116.79,1,5
f,0,0,1,1,145.03,114.18,13,5
z,1,1,1,1,159.74,125.66,9,9
t,0,1,0,1,149.8,115.26,3,2
z,1,1,1,1,160.66,118.34,8,8
s,0,1,1,1,152.25,110.64,20,6
z,1,1,1,1,145.94,115.96,18,9
t,0,1,0,1,146.85,104.24,7,8
s,0,1,1,1,162.8,117.29,8,2
f,0,0,1,1,138.52,108.78,16,1
v,1,0,1,1,137.24,112.77,6,7
z,1,1,1,1,143.77,110.91,17,1
p,0,0,0,1,136.53,111.44,13,7
z,1,1,1,1,144.54,120.64,3,1
z,1,1,1,1,157.66,114.61,15,5
z,1,1,1,1,145.98,120.76,18,10
z,1,1,1,1,148.8,117.23,19,3
b,1,0,0,1,142.06,123.24,9,10
f,0,0,1,1,140.3,116.36,6,1
z,1,1,1,1,144.16,128.2,14,9
t,0,1,0,1,146.99,112.43,20,9
p,0,0,0,1,139.67,113.68,8,8
d,1,1,0,1,140.9,115.51,17,7
v,1,0,1,1,136.66,118.46,16,7
t,0,1,0,1,135.07,109.65,5,8
z,1,1,1,1,161.08,120.06,12,3
p,0,0,0,1,149.35,123.64,1,3
b,1,0,0,1,126.34,111.65,16,5
f,0,0,1,1,142.3,109.71,12,7
z,1,1,1,1,150.97,120.96,20,3
p,0,0,0,1,143.63,111.47,12,10
p,0,0,0,1,145.56,116.47,11,7
p,0,0,0,1,127.04,101.27,6,10
p,0,0,0,1,139.58,107.74,19,8
b,1,0,0,1,127.64,119.77,19,7
f,0,0,1,1,148.11,107.54,15,1
v,1,0,1,1,149.47,120.24,8,9
v,1,0,1,1,139.29,120.23,3,8
v,1,0,1,1,137.73,106.17,19,5
d,1,1,0,1,144.62,122.36,1,5
b,1,0,0,1,129.45,112.37,7,5
b,1,0,0,1,130.02,114.47,18,1
f,0,0,1,1,132.79,114.61,20,5
t,0,1,0,1,154.3,116.45,4,4
z,1,1,1,1,145.89,114.2,20,6
s,0,1,1,1,161.9,117.45,8,5
d,1,1,0,1,139.07,128.74,3,5
z,1,1,1,1,147.79,120.17,20,9
t,0,1,0,1,145.42,113.56,20,1
z,1,1,1,1,156.76,119.79,4,2
v,1,0,1,1,148.34,119.57,4,3
t,0,1,0,1,151.56,104.03,12,10
p,0,0,0,1,140.42,115.32,16,8
b,1,0,0,1,130.09,115.9,4,1
b,1,0,0,1,146.29,122.25,9,7
s,0,1,1,1,145.94,111.7,18,4
s,0,1,1,1,154.37,107.94,15,7
b,1,0,0,1,133.72,119.68,1,9
t,0,1,0,1,160.92,113.0,8,4
z,1,1,1,1,153.54,118.16,4,10
t,0,1,0,1,142.68,109.46,7,1
z,1,1,1,1,155.21,122.16,1,3
v,1,0,1,1,135.73,115.79,6,4
b,1,0,0,1,127.95,114.21,18,5
b,1,0,0,1,141.43,126.46,13,4
v,1,0,1,1,139.54,115.38,1,3
b,1,0,0,1,130.99,112.9,5,9
v,1,0,1,1,133.25,110.88,17,9
f,0,0,1,1,139.32,105.86,18,10
d,1,1,0,1,147.33,124.23,8,5
t,0,1,0,1,155.16,120.64,4,7
b,1,0,0,1,126.79,116.27,1,7
s,0,1,1,1,150.52,113.16,11,9
t,0,1,0,1,153.17,122.2,4,1
z,1,1,1,1,161.21,126.28,9,5
b,1,0,0,1,131.94,118.67,20,6
