consonant,voice,place,manner,prosody,noipow,voipow,subject,token
t,0,1,0,1,148.87,103.29,2,1
p,0,0,0,1,135.12,112.27,9,4
b,1,0,0,1,128.61,115.53,15,6
s,0,1,1,1,140.15,108.78,17,4
z,1,1,1,1,162.47,117.65,16,9
z,1,1,1,1,150.67,118.85,1,5
z,1,1,1,1,154.88,112.13,16,5
z,1,1,1,1,144.78,117.75,3,8
s,0,1,1,1,160.42,115.42,8,7
z,1,1,1,1,145.28,113.87,18,6
d,1,1,0,1,143.86,124.41,8,8
z,1,1,1,1,137.88,125.1,14,7
f,0,0,1,1,144.17,112.21,13,8
s,0,1,1,1,134.79,109.31,5,7
v,1,0,1,1,142.37,114.1,3,9
t,0,1,0,1,158.44,120.3,3,6
p,0,0,0,1,128.84,103.98,2,5
f,0,0,1,1,137.81,111.03,13,4
d,1,1,0,1,144.06,122.68,14,5
d,1,1,0,1,130.85,113.95,7,3
p,0,0,0,1,140.92,116.4,8,10
d,1,1,0,1,118.72,114.72,5,2
s,0,1,1,1,150.26,114.02,20,4
v,1,0,1,1,137.85,113.54,20,9
f,0,0,1,1,151.87,114.78,10,6
b,1,0,0,1,149.99,126.82,8,5
b,1,0,0,1,145.73,130.52,8,3
t,0,1,0,1,150.59,111.47,15,8
b,1,0,0,1,130.68,113.62,17,10
t,0,1,0,1,151.28,112.87,13,1
z,1,1,1,1,161.08,114.99,16,3
d,1,1,0,1,155.08,125.3,10,6
p,0,0,0,1,140.91,112.04,10,3
b,1,0,0,1,132.12,115.91,14,10
d,1,1,0,1,153.49,124.08,13,7
b,1,0,0,1,124.68,118.22,20,2
b,1,0,0,1,147.51,126.83,8,6
z,1,1,1,1,142.11,116.33,17,3
b,1,0,0,1,143.9,122.56,9,1
z,1,1,1,1,145.59,119.1,1,7
b,1,0,0,1,121.75,120.23,20,10
z,1,1,1,1,155.56,106.75,13,8
b,1,0,0,1,128.62,113.6,5,7
v,1,0,1,1,131.88,114.83,17,7
b,1,0,0,1,127.12,112.23,5,5
f,0,0,1,1,138.42,114.35,18,6
v,1,0,1,1,130.77,106.55,18,1
t,0,1,0,1,142.26,113.23,19,10
f,0,0,1,1,140.99,113.13,19,10
b,1,0,0,1,125.91,109.69,7,4
z,1,1,1,1,155.3,120.51,12,9
f,0,0,1,1,145.69,118.07,14,9
v,1,0,1,1,144.51,118.04,16,3
v,1,0,1,1,148.28,112.29,13,7
t,0,1,0,1,156.72,108.89,12,4
s,0,1,1,1,161.53,114.0,16,8
p,0,0,0,1,154.53,122.32,3,1
b,1,0,0,1,143.95,118.95,12,4
s,0,1,1,1,148.3,119.65,14,2
b,1,0,0,1,135.11,116.63,2,6
z,1,1,1,1,146.78,116.4,18,2
s,0,1,1,1,163.29,118.41,9,1
d,1,1,0,1,137.14,120.79,3,8
t,0,1,0,1,151.07,104.85,7,6
t,0,1,0,1,150.8,113.78,16,2
v,1,0,1,1,125.76,109.88,7,5
d,1,1,0,1,138.84,117.49,17,8
p,0,0,0,1,128.91,106.89,5,7
v,1,0,1,1,141.51,114.18,14,8
b,1,0,0,1,129.85,119.56,20,4
p,0,0,0,1,145.42,123.53,10,1
f,0,0,1,1,150.28,119.89,1,6
t,0,1,0,1,135.22,109.24,5,7
f,0,0,1,1,156.66,113.13,9,8
f,0,0,1,1,146.44,107.49,15,8
v,1,0,1,1,137.29,118.02,20,5
z,1,1,1,1,157.53,111.34,16,2
p,0,0,0,1,140.04,105.82,7,7
p,0,0,0,1,136.83,110.37,12,8
b,1,0,0,1,135.2,121.95,15,2
p,0,0,0,1,134.77,108.16,15,9
d,1,1,0,1,142.34,120.98,9,5
f,0,0,1,1,142.33,105.81,16,8
v,1,0,1,1,133.88,115.84,4,9
z,1,1,1,1,157.42,116.68,4,4
v,1,0,1,1,137.9,112.27,7,10
f,0,0,1,1,151.68,119.23,8,9
t,0,1,0,1,148.44,115.33,18,2
p,0,0,0,1,135.78,115.86,14,10
z,1,1,1,1,152.71,113.0,11,4
s,0,1,1,1,155.65,114.3,8,9
d,1,1,0,1,148.12,129.8,8,3
v,1,0,1,1,137.69,117.3,11,7
v,1,0,1,1,142.83,119.79,13,9
f,0,0,1,1,137.92,115.78,4,9
d,1,1,0,1,128.89,110.99,18,6
d,1,1,0,1,144.99,119.74,4,3
f,0,0,1,1,136.41,115.53,17,7
d,1,1,0,1,149.31,120.76,13,9
z,1,1,1,1,146.5,110.39,18,1
s,0,1,1,1,152.83,113.49,1,1
b,1,0,0,1,142.81,122.65,1,4
v,1,0,1,1,141.35,109.63,7,3
v,1,0,1,1,145.92,121.85,10,6
p,0,0,0,1,148.05,119.29,1,2
p,0,0,0,1,149.71,118.9,1,6
t,0,1,0,1,136.74,112.41,17,8
b,1,0,0,1,130.5,109.82,17,2
t,0,1,0,1,132.26,111.43,5,3
v,1,0,1,1,131.74,105.17,17,3
b,1,0,0,1,137.49,122.2,20,3
d,1,1,0,1,149.92,121.08,2,6
b,1,0,0,1,120.68,114.29,2,3
s,0,1,1,1,145.66,113.92,11,1
t,0,1,0,1,160.58,116.67,10,7
d,1,1,0,1,133.59,110.76,16,10
v,1,0,1,1,141.17,101.84,12,2
t,0,1,0,1,157.47,118.38,8,3
f,0,0,1,1,142.58,114.15,6,4
d,1,1,0,1,150.59,127.68,8,2
b,1,0,0,1,128.25,122.27,12,7
z,1,1,1,1,153.58,121.26,18,8
p,0,0,0,1,145.06,115.46,9,10
v,1,0,1,1,134.18,113.32,12,9
p,0,0,0,1,126.57,108.57,5,3
s,0,1,1,1,161.54,112.43,9,3
s,0,1,1,1,161.2,116.88,6,2
p,0,0,0,1,135.35,106.78,2,7
z,1,1,1,1,145.23,116.44,20,1
b,1,0,0,1,126.45,112.44,7,2
d,1,1,0,1,148.28,118.27,2,10
v,1,0,1,1,143.24,118.96,6,2
d,1,1,0,1,121.12,111.68,11,4
v,1,0,1,1,131.12,118.52,20,8
b,1,0,0,1,137.82,124.83,14,5
p,0,0,0,1,126.74,109.74,5,10
t,0,1,0,1,149.81,109.21,9,3
d,1,1,0,1,140.98,123.09,1,10
d,1,1,0,1,127.87,111.97,7,5
d,1,1,0,1,126.3,116.89,11,2
d,1,1,0,1,154.14,126.5,10,5
v,1,0,1,1,132.98,109.93,6,10
z,1,1,1,1,157.09,116.95,13,6
t,0,1,0,1,168.03,109.97,11,4
s,0,1,1,1,138.71,111.82,17,10
v,1,0,1,1,145.06,118.73,2,10
f,0,0,1,1,148.29,111.61,1,4
b,1,0,0,1,134.71,114.96,16,9
s,0,1,1,1,160.73,119.28,8,1
t,0,1,0,1,161.32,109.82,11,6
s,0,1,1,1,145.82,105.75,7,2
d,1,1,0,1,143.07,121.43,6,3
p,0,0,0,1,146.11,110.62,15,1
s,0,1,1,1,149.18,113.83,14,8
t,0,1,0,1,139.4,113.05,20,2
s,0,1,1,1,147.6,105.99,18,6
f,0,0,1,1,134.64,104.95,19,7
s,0,1,1,1,146.72,108.57,7,10
t,0,1,0,1,152.24,112.74,3,9
t,0,1,0,1,155.02,110.54,12,1
d,1,1,0,1,140.55,118.39,15,4
d,1,1,0,1,131.24,117.37,19,5
f,0,0,1,1,146.68,109.09,15,6
f,0,0,1,1,139.22,109.28,12,4
p,0,0,0,1,124.49,112.81,18,7
p,0,0,0,1,137.0,111.57,15,6
t,0,1,0,1,149.0,108.3,9,8
z,1,1,1,1,158.02,119.1,4,7
s,0,1,1,1,149.79,108.89,13,6
s,0,1,1,1,151.1,114.78,14,1
d,1,1,0,1,146.21,115.64,11,7
b,1,0,0,1,136.82,117.58,9,4
b,1,0,0,1,135.3,120.8,10,4
s,0,1,1,1,145.3,107.43,11,6
t,0,1,0,1,148.28,113.04,6,1
p,0,0,0,1,141.64,111.85,6,7
s,0,1,1,1,159.64,112.21,9,8
t,0,1,0,1,143.99,109.1,20,8
t,0,1,0,1,150.73,115.96,3,3
f,0,0,1,1,145.25,117.92,14,6
b,1,0,0,1,128.06,125.15,14,6
v,1,0,1,1,124.48,105.46,5,2
v,1,0,1,1,144.08,117.79,1,5
p,0,0,0,1,128.51,110.65,7,1
z,1,1,1,1,158.44,115.91,13,3
t,0,1,0,1,160.34,116.66,1,9
p,0,0,0,1,134.17,116.75,15,4
t,0,1,0,1,152.86,112.74,3,10
p,0,0,0,1,139.25,112.56,13,2
v,1,0,1,1,139.98,106.86,12,7
f,0,0,1,1,137.62,110.38,18,3
p,0,0,0,1,124.5,106.34,5,8
v,1,0,1,1,133.17,107.45,20,6
b,1,0,0,1,134.14,113.34,11,10
b,1,0,0,1,132.69,124.77,3,7
s,0,1,1,1,151.6,110.53,19,4
z,1,1,1,1,158.07,112.96,6,9
v,1,0,1,1,131.36,121.99,3,2
t,0,1,0,1,150.11,111.86,9,9
d,1,1,0,1,141.3,118.31,6,9
p,0,0,0,1,137.99,115.94,11,2
p,0,0,0,1,136.13,116.63,1,9
s,0,1,1,1,145.49,105.83,18,5
z,1,1,1,1,164.86,116.7,16,4
v,1,0,1,1,147.73,115.61,10,4
f,0,0,1,1,143.08,110.09,7,5
f,0,0,1,1,139.52,112.25,4,4
v,1,0,1,1,138.4,110.05,1,2
z,1,1,1,1,138.02,107.03,5,4
p,0,0,0,1,123.13,112.23,18,8
p,0,0,0,1,129.17,102.78,7,8
z,1,1,1,1,155.68,117.56,13,4
s,0,1,1,1,153.95,107.77,12,4
s,0,1,1,1,144.69,118.22,14,10
f,0,0,1,1,152.21,108.92,9,10
s,0,1,1,1,159.79,106.83,15,3
p,0,0,0,1,150.42,119.98,1,10
d,1,1,0,1,148.34,123.76,14,3
d,1,1,0,1,144.4,118.42,9,4
d,1,1,0,1,144.07,115.25,16,1
d,1,1,0,1,143.21,113.32,15,8
s,0,1,1,1,152.0,112.57,12,9
t,0,1,0,1,147.57,111.82,13,5
b,1,0,0,1,135.12,119.51,18,2
t,0,1,0,1,146.98,115.89,14,7
p,0,0,0,1,137.0,107.27,16,2
t,0,1,0,1,164.83,111.09,8,2
t,0,1,0,1,143.55,108.75,7,10
p,0,0,0,1,129.35,110.64,18,5
s,0,1,1,1,145.2,105.21,18,8
z,1,1,1,1,145.75,124.24,3,9
b,1,0,0,1,130.2,121.21,17,4
v,1,0,1,1,138.77,106.38,20,10
t,0,1,0,1,150.28,105.48,7,9
f,0,0,1,1,140.18,111.85,4,8
s,0,1,1,1,152.36,110.64,1,2
z,1,1,1,1,149.26,114.06,7,8
t,0,1,0,1,146.64,109.17,15,9
z,1,1,1,1,149.93,113.11,4,9
z,1,1,1,1,157.33,119.22,7,1
d,1,1,0,1,146.18,123.08,12,9
b,1,0,0,1,131.99,124.93,12,2
d,1,1,0,1,152.84,129.02,8,1
p,0,0,0,1,127.22,108.92,18,2
f,0,0,1,1,142.68,110.25,7,1
b,1,0,0,1,118.64,113.32,5,1
v,1,0,1,1,127.92,107.62,7,4
p,0,0,0,1,141.8,107.36,11,8
p,0,0,0,1,146.33,119.89,1,4
z,1,1,1,1,138.68,117.01,17,10
s,0,1,1,1,158.22,116.45,19,8
s,0,1,1,1,158.99,115.65,10,1
v,1,0,1,1,139.11,115.79,16,5
z,1,1,1,1,153.19,119.94,2,8
d,1,1,0,1,138.26,119.4,1,4
d,1,1,0,1,148.91,116.61,9,2
t,0,1,0,1,154.45,102.54,15,7
d,1,1,0,1,145.47,127.51,14,2
z,1,1,1,1,141.39,111.87,17,8
f,0,0,1,1,143.44,110.19,2,5
v,1,0,1,1,142.27,117.17,19,1
d,1,1,0,1,132.94,120.24,20,10
d,1,1,0,1,137.53,123.4,1,9
s,0,1,1,1,158.04,116.07,1,5
v,1,0,1,1,139.5,115.06,11,8
v,1,0,1,1,142.26,112.65,12,5
b,1,0,0,1,132.58,123.46,17,9
s,0,1,1,1,141.61,109.39,17,2
s,0,1,1,1,153.86,107.94,6,10
d,1,1,0,1,140.18,121.58,1,8
d,1,1,0,1,153.29,124.02,9,1
v,1,0,1,1,141.84,116.75,15,6
f,0,0,1,1,148.28,112.19,1,10
v,1,0,1,1,127.97,113.45,5,7
d,1,1,0,1,137.25,122.86,4,6
t,0,1,0,1,157.66,122.18,10,4
z,1,1,1,1,162.3,126.44,10,7
f,0,0,1,1,143.14,111.71,8,1
b,1,0,0,1,128.88,116.81,18,6
v,1,0,1,1,138.27,113.28,6,8
p,0,0,0,1,130.62,113.74,4,4
v,1,0,1,1,137.11,114.95,2,1
f,0,0,1,1,135.44,102.99,18,2
p,0,0,0,1,145.6,119.68,3,3
p,0,0,0,1,136.76,109.22,20,8
s,0,1,1,1,156.93,110.84,6,8
z,1,1,1,1,159.67,127.22,9,7
z,1,1,1,1,154.08,123.33,6,1
t,0,1,0,1,154.1,117.52,9,1
b,1,0,0,1,137.93,114.83,16,7
f,0,0,1,1,126.05,109.66,5,5
d,1,1,0,1,146.52,122.08,1,7
t,0,1,0,1,157.95,110.59,1,8
t,0,1,0,1,162.62,117.95,10,8
b,1,0,0,1,136.48,117.15,16,1
z,1,1,1,1,137.96,112.71,20,2
p,0,0,0,1,132.3,104.82,17,6
f,0,0,1,1,136.91,107.56,5,7
p,0,0,0,1,144.0,116.39,6,5
v,1,0,1,1,141.65,121.37,3,1
p,0,0,0,1,130.92,115.63,14,7
d,1,1,0,1,143.27,124.19,14,4
p,0,0,0,1,134.39,112.07,13,10
d,1,1,0,1,139.68,114.27,16,4
f,0,0,1,1,137.08,107.02,12,6
p,0,0,0,1,134.92,110.13,19,4
d,1,1,0,1,130.53,117.1,18,10
t,0,1,0,1,153.67,114.39,8,8
f,0,0,1,1,148.37,108.11,15,2
d,1,1,0,1,144.21,113.3,11,9
v,1,0,1,1,138.83,113.26,4,8
d,1,1,0,1,143.36,117.49,2,9
z,1,1,1,1,156.95,114.93,15,8
f,0,0,1,1,150.28,113.88,8,2
b,1,0,0,1,132.69,118.75,12,6
f,0,0,1,1,139.73,107.73,20,4
p,0,0,0,1,140.9,117.38,3,8
f,0,0,1,1,149.63,110.27,9,7
v,1,0,1,1,153.63,115.6,9,6
t,0,1,0,1,155.25,106.45,11,7
p,0,0,0,1,148.98,115.68,4,5
p,0,0,0,1,136.31,114.54,16,1
f,0,0,1,1,143.13,106.43,2,8
p,0,0,0,1,130.19,117.83,4,3
d,1,1,0,1,120.76,108.23,5,7
b,1,0,0,1,141.8,112.35,11,9
z,1,1,1,1,145.71,111.76,20,7
t,0,1,0,1,137.46,109.2,17,4
t,0,1,0,1,152.33,120.81,4,10
b,1,0,0,1,130.48,109.77,18,7
v,1,0,1,1,131.15,112.83,17,2
v,1,0,1,1,133.61,108.47,1,1
v,1,0,1,1,140.39,119.79,1,8
f,0,0,1,1,136.57,111.01,17,8
p,0,0,0,1,132.35,104.21,2,8
b,1,0,0,1,132.03,114.43,7,6
t,0,1,0,1,151.02,116.54,4,2
z,1,1,1,1,153.14,115.39,12,10
s,0,1,1,1,162.51,112.74,16,3
s,0,1,1,1,163.09,113.16,15,5
d,1,1,0,1,149.07,120.78,9,7
b,1,0,0,1,140.56,116.6,2,1
p,0,0,0,1,139.24,108.45,2,9
f,0,0,1,1,137.72,105.81,19,8
v,1,0,1,1,141.03,112.75,2,4
b,1,0,0,1,137.12,113.38,9,3
f,0,0,1,1,142.35,110.06,6,7
d,1,1,0,1,138.23,121.03,20,6
p,0,0,0,1,142.31,112.98,2,10
z,1,1,1,1,166.25,116.54,16,1
z,1,1,1,1,164.43,125.65,10,2
v,1,0,1,1,136.97,118.29,13,3
d,1,1,0,1,148.97,121.92,4,10
t,0,1,0,1,148.72,111.11,6,8
p,0,0,0,1,139.63,116.49,16,9
s,0,1,1,1,148.76,110.45,11,3
v,1,0,1,1,143.95,115.0,1,9
b,1,0,0,1,118.67,111.16,7,9
d,1,1,0,1,139.2,113.14,15,6
s,0,1,1,1,162.3,110.86,15,8
s,0,1,1,1,155.65,110.18,6,7
s,0,1,1,1,154.46,124.82,3,5
b,1,0,0,1,129.77,117.24,12,9
f,0,0,1,1,129.1,111.58,17,9
z,1,1,1,1,140.75,107.33,5,9
